timestamp_ms,thread,event,preempt_count
11019278,Vision,PREEMPTED,173
11019288,Flight,START,3
11019288,Flight,END,3
11019290,Vision,PREEMPTED,176
11019298,Flight,START,3
11019298,Flight,END,3
11019302,Vision,PREEMPTED,177
11019308,Flight,START,3
11019308,Flight,END,3
11019310,Vision,PREEMPTED,179
11019318,Flight,START,3
11019318,Flight,END,3
11019321,Vision,PREEMPTED,181
11019328,Flight,START,3
11019328,Flight,END,3
11019329,Vision,PREEMPTED,183
11019338,Flight,START,3
11019338,Flight,END,3
11019341,Vision,PREEMPTED,185
11019348,Flight,START,3
11019348,Flight,END,3
11019349,Vision,PREEMPTED,187
11019356,Vision,PREEMPTED,193
11019358,Flight,START,3
11019358,Flight,END,3
11019360,Vision,PREEMPTED,195
11019368,Flight,START,3
11019368,Flight,END,3
11019368,Vision,PREEMPTED,196
11019378,Flight,START,3
11019378,Flight,END,3
11019380,Vision,PREEMPTED,198
11019388,Flight,START,3
11019388,Flight,END,3
11019392,Vision,PREEMPTED,199
11019398,Flight,START,3
11019398,Flight,END,3
11019399,Vision,PREEMPTED,201
11019408,Flight,START,3
11019408,Flight,END,3
11019411,Vision,PREEMPTED,203
11019418,Flight,START,3
11019418,Flight,END,3
11019419,Vision,PREEMPTED,205
11019428,Flight,START,3
11019428,Flight,END,3
11019431,Vision,PREEMPTED,207
11019438,Flight,START,3
11019438,Flight,END,3
11019438,Vision,PREEMPTED,208
11019448,Flight,START,3
11019448,Flight,END,3
11019450,Vision,PREEMPTED,210
11019458,Flight,START,3
11019458,Flight,END,3
11019462,Vision,PREEMPTED,211
11019468,Flight,START,3
11019468,Flight,END,3
11019470,Vision,PREEMPTED,213
11019478,Flight,START,3
11019478,Flight,END,3
11019481,Vision,PREEMPTED,215
11019488,Flight,START,3
11019488,Flight,END,3
11019489,Vision,PREEMPTED,217
11019498,Flight,START,3
11019498,Flight,END,3
11019500,Vision,PREEMPTED,219
11019508,Flight,START,3
11019508,Flight,END,3
11019508,Vision,PREEMPTED,220
11019512,Vision,PREEMPTED,221
11019518,Flight,START,3
11019518,Flight,END,3
11019520,Vision,PREEMPTED,223
11019528,Flight,START,3
11019528,Flight,END,3
11019528,Vision,PREEMPTED,224
11019533,Vision,PREEMPTED,225
11019538,Flight,START,3
11019538,Flight,END,3
11019541,Vision,PREEMPTED,227
11019548,Flight,START,3
11019548,Flight,END,3
11019549,Vision,PREEMPTED,229
11019558,Flight,START,3
11019558,Flight,END,3
11019561,Vision,PREEMPTED,231
11019568,Flight,START,3
11019568,Flight,END,3
11019569,Vision,PREEMPTED,233
11019578,Flight,START,3
11019578,Flight,END,3
11019581,Vision,PREEMPTED,235
11019588,Flight,START,3
11019588,Flight,END,3
11019589,Vision,PREEMPTED,236
11019598,Flight,START,3
11019598,Flight,END,3
11019601,Vision,PREEMPTED,238
11019608,Flight,START,3
11019608,Flight,END,3
11019618,Flight,START,3
11019618,Flight,END,3
11019618,Vision,PREEMPTED,239
11019623,Vision,PREEMPTED,240
11019628,Flight,START,3
11019628,Flight,END,3
11019630,Vision,PREEMPTED,242
11019638,Flight,START,3
11019638,Flight,END,3
11019638,Vision,PREEMPTED,243
11019642,Vision,PREEMPTED,244
11019648,Flight,START,3
11019648,Flight,END,3
11019650,Vision,PREEMPTED,246
11019658,Flight,START,3
11019658,Flight,END,3
11019659,Vision,PREEMPTED,247
11019668,Flight,START,3
11019668,Flight,END,3
11019671,Vision,PREEMPTED,249
11019678,Flight,START,3
11019678,Flight,END,3
11019679,Vision,PREEMPTED,251
11019688,Flight,START,3
11019688,Flight,END,3
11019691,Vision,PREEMPTED,253
11019698,Flight,START,3
11019698,Flight,END,3
11019700,Vision,PREEMPTED,255
11019708,Flight,START,3
11019708,Flight,END,3
11019712,Vision,PREEMPTED,256
11019718,Flight,START,3
11019718,Flight,END,3
11019720,Vision,PREEMPTED,258
11019728,Flight,START,3
11019728,Flight,END,3
11019728,Vision,PREEMPTED,259
11019732,Vision,PREEMPTED,260
11019738,Flight,START,3
11019738,Flight,END,3
11019740,Vision,PREEMPTED,262
11019748,Flight,START,3
11019748,Flight,END,3
11019748,Vision,PREEMPTED,263
11019756,Vision,PREEMPTED,264
11019758,Flight,START,3
11019758,Flight,END,3
11019761,Vision,PREEMPTED,266
11019768,Flight,START,3
11019768,Flight,END,3
11019769,Vision,PREEMPTED,267
11019778,Flight,START,3
11019778,Flight,END,3
11019781,Vision,PREEMPTED,269
11019788,Flight,START,3
11019788,Flight,END,3
11019789,Vision,PREEMPTED,270
11019793,Vision,PREEMPTED,271
11019798,Flight,START,3
11019798,Flight,END,3
11019806,Vision,PREEMPTED,273
11019808,Flight,START,3
11019808,Flight,END,3
11019810,Vision,PREEMPTED,275
11019818,Flight,START,3
11019818,Flight,END,3
11019822,Vision,PREEMPTED,276
11019828,Flight,START,3
11019828,Flight,END,3
11019830,Vision,PREEMPTED,278
11019837,Vision,PREEMPTED,279
11019838,Flight,START,3
11019838,Flight,END,3
11019842,Vision,PREEMPTED,281
11019848,Flight,START,3
11019848,Flight,END,3
11019850,Vision,PREEMPTED,283
11019858,Flight,START,3
11019858,Flight,END,3
11019863,Vision,PREEMPTED,284
11019868,Flight,START,3
11019868,Flight,END,3
11019871,Vision,PREEMPTED,286
11019878,Flight,START,3
11019878,Flight,END,3
11019879,Vision,PREEMPTED,287
11019883,Vision,PREEMPTED,288
11019888,Flight,START,3
11019888,Flight,END,3
11019891,Vision,PREEMPTED,290
11019898,Flight,START,3
11019898,Flight,END,3
11019904,Vision,PREEMPTED,291
11019908,Flight,START,3
11019908,Flight,END,3
11019912,Vision,PREEMPTED,292
11019918,Flight,START,3
11019918,Flight,END,3
11019920,Vision,PREEMPTED,294
11019928,Flight,START,3
11019928,Flight,END,3
11019931,Vision,PREEMPTED,296
11019938,Flight,START,3
11019938,Flight,END,3
11019939,Vision,PREEMPTED,297
11019943,Vision,PREEMPTED,298
11019948,Flight,START,3
11019948,Flight,END,3
11019951,Vision,PREEMPTED,300
11019958,Flight,START,3
11019958,Flight,END,3
11019964,Vision,PREEMPTED,302
11019968,Flight,START,3
11019968,Flight,END,3
11019969,Vision,PREEMPTED,303
11019973,Vision,PREEMPTED,304
11019978,Flight,START,3
11019978,Flight,END,3
11019981,Vision,PREEMPTED,306
11019988,Flight,START,3
11019988,Flight,END,3
11019989,Vision,PREEMPTED,307
11019993,Vision,PREEMPTED,308
11019998,Flight,START,3
11019998,Flight,END,3
11020001,Vision,PREEMPTED,310
11020008,Flight,START,3
11020008,Flight,END,3
11020010,Vision,PREEMPTED,311
11020018,Flight,START,3
11020018,Flight,END,3
